l1trialnr	$l1picture
1	"dash.tif"
2	"dot.tif"
3	"dash.tif"
4	"dash.tif"
5	"dot.tif"
6	"dash.tif"
7	"dot.tif"
8	"dot.tif"
9	"dash.tif"
10	"dash.tif"
